match_side,source_character_id,source_character_name,mentioned_name,mention_type,heading,confidence,matched_known_character,source_whois_id,evidence_excerpt
source,char_rik,Rik,Akio,comma_name_list,,low,no,whois_rik_1780833974,"The Good:  Ainko, Akio, Alderik, Francis, Ghij, Harold, Kim,, Knutt, Kyrania,"
source,char_rik,Rik,Alderik,comma_name_list,,high,yes,whois_rik_1780833974,"The Good:  Ainko, Akio, Alderik, Francis, Ghij, Harold, Kim,, Knutt, Kyrania,"
source,char_rik,Rik,Francis,comma_name_list,,high,yes,whois_rik_1780833974,"The Good:  Ainko, Akio, Alderik, Francis, Ghij, Harold, Kim,, Knutt, Kyrania,"
source,char_rik,Rik,Ghij,comma_name_list,,low,no,whois_rik_1780833974,"The Good:  Ainko, Akio, Alderik, Francis, Ghij, Harold, Kim,, Knutt, Kyrania,"
source,char_rik,Rik,Harold,comma_name_list,,low,no,whois_rik_1780833974,"The Good:  Ainko, Akio, Alderik, Francis, Ghij, Harold, Kim,, Knutt, Kyrania,"
source,char_rik,Rik,Kim,comma_name_list,,low,no,whois_rik_1780833974,"The Good:  Ainko, Akio, Alderik, Francis, Ghij, Harold, Kim,, Knutt, Kyrania,"
source,char_rik,Rik,Knutt,comma_name_list,,low,no,whois_rik_1780833974,"The Good:  Ainko, Akio, Alderik, Francis, Ghij, Harold, Kim,, Knutt, Kyrania,"
source,char_rik,Rik,Kyrania,comma_name_list,,low,no,whois_rik_1780833974,"The Good:  Ainko, Akio, Alderik, Francis, Ghij, Harold, Kim,, Knutt, Kyrania,"
source,char_rik,Rik,Marieke,comma_name_list,,low,no,whois_rik_1780833974,"Marieke,  Obthic, Oksar, Rhamd, Synnove, Tum, Wanda, Xyziristine, Zhyza"
source,char_rik,Rik,Obthic,comma_name_list,,low,no,whois_rik_1780833974,"Marieke,  Obthic, Oksar, Rhamd, Synnove, Tum, Wanda, Xyziristine, Zhyza"
source,char_rik,Rik,Oksar,comma_name_list,,low,no,whois_rik_1780833974,"Marieke,  Obthic, Oksar, Rhamd, Synnove, Tum, Wanda, Xyziristine, Zhyza"
source,char_rik,Rik,Rhamd,comma_name_list,,low,no,whois_rik_1780833974,"Marieke,  Obthic, Oksar, Rhamd, Synnove, Tum, Wanda, Xyziristine, Zhyza"
source,char_rik,Rik,Synnove,comma_name_list,,low,no,whois_rik_1780833974,"Marieke,  Obthic, Oksar, Rhamd, Synnove, Tum, Wanda, Xyziristine, Zhyza"
source,char_rik,Rik,Tum,comma_name_list,,low,no,whois_rik_1780833974,"Marieke,  Obthic, Oksar, Rhamd, Synnove, Tum, Wanda, Xyziristine, Zhyza"
source,char_rik,Rik,Wanda,comma_name_list,,low,no,whois_rik_1780833974,"Marieke,  Obthic, Oksar, Rhamd, Synnove, Tum, Wanda, Xyziristine, Zhyza"
source,char_rik,Rik,Xyziristine,comma_name_list,,low,no,whois_rik_1780833974,"Marieke,  Obthic, Oksar, Rhamd, Synnove, Tum, Wanda, Xyziristine, Zhyza"
source,char_rik,Rik,Zhyza,comma_name_list,,low,no,whois_rik_1780833974,"Marieke,  Obthic, Oksar, Rhamd, Synnove, Tum, Wanda, Xyziristine, Zhyza"
source,char_rik,Rik,Billiam,comma_name_list,,low,no,whois_rik_1780833974,"The Evil: Ashmash, Billiam, Brutex, Defcon, Hatchie, Inkathurg, Lentracus,"
source,char_rik,Rik,Brutex,comma_name_list,,low,no,whois_rik_1780833974,"The Evil: Ashmash, Billiam, Brutex, Defcon, Hatchie, Inkathurg, Lentracus,"
source,char_rik,Rik,Defcon,comma_name_list,,low,no,whois_rik_1780833974,"The Evil: Ashmash, Billiam, Brutex, Defcon, Hatchie, Inkathurg, Lentracus,"
source,char_rik,Rik,Hatchie,comma_name_list,,low,no,whois_rik_1780833974,"The Evil: Ashmash, Billiam, Brutex, Defcon, Hatchie, Inkathurg, Lentracus,"
source,char_rik,Rik,Inkathurg,comma_name_list,,low,no,whois_rik_1780833974,"The Evil: Ashmash, Billiam, Brutex, Defcon, Hatchie, Inkathurg, Lentracus,"
source,char_rik,Rik,Lentracus,comma_name_list,,low,no,whois_rik_1780833974,"The Evil: Ashmash, Billiam, Brutex, Defcon, Hatchie, Inkathurg, Lentracus,"
source,char_rik,Rik,Maglubhiyet,comma_name_list,,low,no,whois_rik_1780833974,"Maglubhiyet, Myrcea, Oki, Oliksia, Qwestus, Timo, Tym, Wrorg, Zhough"
source,char_rik,Rik,Myrcea,comma_name_list,,low,no,whois_rik_1780833974,"Maglubhiyet, Myrcea, Oki, Oliksia, Qwestus, Timo, Tym, Wrorg, Zhough"
source,char_rik,Rik,Oki,comma_name_list,,low,no,whois_rik_1780833974,"Maglubhiyet, Myrcea, Oki, Oliksia, Qwestus, Timo, Tym, Wrorg, Zhough"
source,char_rik,Rik,Oliksia,comma_name_list,,low,no,whois_rik_1780833974,"Maglubhiyet, Myrcea, Oki, Oliksia, Qwestus, Timo, Tym, Wrorg, Zhough"
source,char_rik,Rik,Qwestus,comma_name_list,,high,yes,whois_rik_1780833974,"Maglubhiyet, Myrcea, Oki, Oliksia, Qwestus, Timo, Tym, Wrorg, Zhough"
source,char_rik,Rik,Timo,comma_name_list,,low,no,whois_rik_1780833974,"Maglubhiyet, Myrcea, Oki, Oliksia, Qwestus, Timo, Tym, Wrorg, Zhough"
source,char_rik,Rik,Tym,comma_name_list,,low,no,whois_rik_1780833974,"Maglubhiyet, Myrcea, Oki, Oliksia, Qwestus, Timo, Tym, Wrorg, Zhough"
source,char_rik,Rik,Wrorg,comma_name_list,,low,no,whois_rik_1780833974,"Maglubhiyet, Myrcea, Oki, Oliksia, Qwestus, Timo, Tym, Wrorg, Zhough"
source,char_rik,Rik,Zhough,comma_name_list,,low,no,whois_rik_1780833974,"Maglubhiyet, Myrcea, Oki, Oliksia, Qwestus, Timo, Tym, Wrorg, Zhough"
source,char_rik,Rik,Akio,comma_name_list,,low,no,whois_rik_1780880030,"The Good:  Ainko, Akio, Alderik, Francis, Ghij, Harold, Kim,, Knutt, Kyrania,"
source,char_rik,Rik,Alderik,comma_name_list,,high,yes,whois_rik_1780880030,"The Good:  Ainko, Akio, Alderik, Francis, Ghij, Harold, Kim,, Knutt, Kyrania,"
source,char_rik,Rik,Francis,comma_name_list,,high,yes,whois_rik_1780880030,"The Good:  Ainko, Akio, Alderik, Francis, Ghij, Harold, Kim,, Knutt, Kyrania,"
source,char_rik,Rik,Ghij,comma_name_list,,low,no,whois_rik_1780880030,"The Good:  Ainko, Akio, Alderik, Francis, Ghij, Harold, Kim,, Knutt, Kyrania,"
source,char_rik,Rik,Harold,comma_name_list,,low,no,whois_rik_1780880030,"The Good:  Ainko, Akio, Alderik, Francis, Ghij, Harold, Kim,, Knutt, Kyrania,"
source,char_rik,Rik,Kim,comma_name_list,,low,no,whois_rik_1780880030,"The Good:  Ainko, Akio, Alderik, Francis, Ghij, Harold, Kim,, Knutt, Kyrania,"
source,char_rik,Rik,Knutt,comma_name_list,,low,no,whois_rik_1780880030,"The Good:  Ainko, Akio, Alderik, Francis, Ghij, Harold, Kim,, Knutt, Kyrania,"
source,char_rik,Rik,Kyrania,comma_name_list,,low,no,whois_rik_1780880030,"The Good:  Ainko, Akio, Alderik, Francis, Ghij, Harold, Kim,, Knutt, Kyrania,"
source,char_rik,Rik,Marieke,comma_name_list,,low,no,whois_rik_1780880030,"Marieke,  Obthic, Oksar, Rhamd, Synnove, Tum, Wanda, Xyziristine, Zhyza"
source,char_rik,Rik,Obthic,comma_name_list,,low,no,whois_rik_1780880030,"Marieke,  Obthic, Oksar, Rhamd, Synnove, Tum, Wanda, Xyziristine, Zhyza"
source,char_rik,Rik,Oksar,comma_name_list,,low,no,whois_rik_1780880030,"Marieke,  Obthic, Oksar, Rhamd, Synnove, Tum, Wanda, Xyziristine, Zhyza"
source,char_rik,Rik,Rhamd,comma_name_list,,low,no,whois_rik_1780880030,"Marieke,  Obthic, Oksar, Rhamd, Synnove, Tum, Wanda, Xyziristine, Zhyza"
source,char_rik,Rik,Synnove,comma_name_list,,low,no,whois_rik_1780880030,"Marieke,  Obthic, Oksar, Rhamd, Synnove, Tum, Wanda, Xyziristine, Zhyza"
source,char_rik,Rik,Tum,comma_name_list,,low,no,whois_rik_1780880030,"Marieke,  Obthic, Oksar, Rhamd, Synnove, Tum, Wanda, Xyziristine, Zhyza"
source,char_rik,Rik,Wanda,comma_name_list,,low,no,whois_rik_1780880030,"Marieke,  Obthic, Oksar, Rhamd, Synnove, Tum, Wanda, Xyziristine, Zhyza"
source,char_rik,Rik,Xyziristine,comma_name_list,,low,no,whois_rik_1780880030,"Marieke,  Obthic, Oksar, Rhamd, Synnove, Tum, Wanda, Xyziristine, Zhyza"
source,char_rik,Rik,Zhyza,comma_name_list,,low,no,whois_rik_1780880030,"Marieke,  Obthic, Oksar, Rhamd, Synnove, Tum, Wanda, Xyziristine, Zhyza"
source,char_rik,Rik,Billiam,comma_name_list,,low,no,whois_rik_1780880030,"The Evil: Ashmash, Billiam, Brutex, Defcon, Hatchie, Inkathurg, Lentracus,"
source,char_rik,Rik,Brutex,comma_name_list,,low,no,whois_rik_1780880030,"The Evil: Ashmash, Billiam, Brutex, Defcon, Hatchie, Inkathurg, Lentracus,"
source,char_rik,Rik,Defcon,comma_name_list,,low,no,whois_rik_1780880030,"The Evil: Ashmash, Billiam, Brutex, Defcon, Hatchie, Inkathurg, Lentracus,"
source,char_rik,Rik,Hatchie,comma_name_list,,low,no,whois_rik_1780880030,"The Evil: Ashmash, Billiam, Brutex, Defcon, Hatchie, Inkathurg, Lentracus,"
source,char_rik,Rik,Inkathurg,comma_name_list,,low,no,whois_rik_1780880030,"The Evil: Ashmash, Billiam, Brutex, Defcon, Hatchie, Inkathurg, Lentracus,"
source,char_rik,Rik,Lentracus,comma_name_list,,low,no,whois_rik_1780880030,"The Evil: Ashmash, Billiam, Brutex, Defcon, Hatchie, Inkathurg, Lentracus,"
source,char_rik,Rik,Maglubhiyet,comma_name_list,,low,no,whois_rik_1780880030,"Maglubhiyet, Myrcea, Oki, Oliksia, Qwestus, Timo, Tym, Wrorg, Zhough"
source,char_rik,Rik,Myrcea,comma_name_list,,low,no,whois_rik_1780880030,"Maglubhiyet, Myrcea, Oki, Oliksia, Qwestus, Timo, Tym, Wrorg, Zhough"
source,char_rik,Rik,Oki,comma_name_list,,low,no,whois_rik_1780880030,"Maglubhiyet, Myrcea, Oki, Oliksia, Qwestus, Timo, Tym, Wrorg, Zhough"
source,char_rik,Rik,Oliksia,comma_name_list,,low,no,whois_rik_1780880030,"Maglubhiyet, Myrcea, Oki, Oliksia, Qwestus, Timo, Tym, Wrorg, Zhough"
source,char_rik,Rik,Qwestus,comma_name_list,,high,yes,whois_rik_1780880030,"Maglubhiyet, Myrcea, Oki, Oliksia, Qwestus, Timo, Tym, Wrorg, Zhough"
source,char_rik,Rik,Timo,comma_name_list,,low,no,whois_rik_1780880030,"Maglubhiyet, Myrcea, Oki, Oliksia, Qwestus, Timo, Tym, Wrorg, Zhough"
source,char_rik,Rik,Tym,comma_name_list,,low,no,whois_rik_1780880030,"Maglubhiyet, Myrcea, Oki, Oliksia, Qwestus, Timo, Tym, Wrorg, Zhough"
source,char_rik,Rik,Wrorg,comma_name_list,,low,no,whois_rik_1780880030,"Maglubhiyet, Myrcea, Oki, Oliksia, Qwestus, Timo, Tym, Wrorg, Zhough"
source,char_rik,Rik,Zhough,comma_name_list,,low,no,whois_rik_1780880030,"Maglubhiyet, Myrcea, Oki, Oliksia, Qwestus, Timo, Tym, Wrorg, Zhough"
source,char_rik,Rik,Akio,comma_name_list,,low,no,whois_rik_1780880388,"The Good:  Ainko, Akio, Alderik, Francis, Ghij, Harold, Kim,, Knutt, Kyrania,"
source,char_rik,Rik,Alderik,comma_name_list,,high,yes,whois_rik_1780880388,"The Good:  Ainko, Akio, Alderik, Francis, Ghij, Harold, Kim,, Knutt, Kyrania,"
source,char_rik,Rik,Francis,comma_name_list,,high,yes,whois_rik_1780880388,"The Good:  Ainko, Akio, Alderik, Francis, Ghij, Harold, Kim,, Knutt, Kyrania,"
source,char_rik,Rik,Ghij,comma_name_list,,low,no,whois_rik_1780880388,"The Good:  Ainko, Akio, Alderik, Francis, Ghij, Harold, Kim,, Knutt, Kyrania,"
source,char_rik,Rik,Harold,comma_name_list,,low,no,whois_rik_1780880388,"The Good:  Ainko, Akio, Alderik, Francis, Ghij, Harold, Kim,, Knutt, Kyrania,"
source,char_rik,Rik,Kim,comma_name_list,,low,no,whois_rik_1780880388,"The Good:  Ainko, Akio, Alderik, Francis, Ghij, Harold, Kim,, Knutt, Kyrania,"
source,char_rik,Rik,Knutt,comma_name_list,,low,no,whois_rik_1780880388,"The Good:  Ainko, Akio, Alderik, Francis, Ghij, Harold, Kim,, Knutt, Kyrania,"
source,char_rik,Rik,Kyrania,comma_name_list,,low,no,whois_rik_1780880388,"The Good:  Ainko, Akio, Alderik, Francis, Ghij, Harold, Kim,, Knutt, Kyrania,"
source,char_rik,Rik,Marieke,comma_name_list,,low,no,whois_rik_1780880388,"Marieke,  Obthic, Oksar, Rhamd, Synnove, Tum, Wanda, Xyziristine, Zhyza"
source,char_rik,Rik,Obthic,comma_name_list,,low,no,whois_rik_1780880388,"Marieke,  Obthic, Oksar, Rhamd, Synnove, Tum, Wanda, Xyziristine, Zhyza"
source,char_rik,Rik,Oksar,comma_name_list,,low,no,whois_rik_1780880388,"Marieke,  Obthic, Oksar, Rhamd, Synnove, Tum, Wanda, Xyziristine, Zhyza"
source,char_rik,Rik,Rhamd,comma_name_list,,low,no,whois_rik_1780880388,"Marieke,  Obthic, Oksar, Rhamd, Synnove, Tum, Wanda, Xyziristine, Zhyza"
source,char_rik,Rik,Synnove,comma_name_list,,low,no,whois_rik_1780880388,"Marieke,  Obthic, Oksar, Rhamd, Synnove, Tum, Wanda, Xyziristine, Zhyza"
source,char_rik,Rik,Tum,comma_name_list,,low,no,whois_rik_1780880388,"Marieke,  Obthic, Oksar, Rhamd, Synnove, Tum, Wanda, Xyziristine, Zhyza"
source,char_rik,Rik,Wanda,comma_name_list,,low,no,whois_rik_1780880388,"Marieke,  Obthic, Oksar, Rhamd, Synnove, Tum, Wanda, Xyziristine, Zhyza"
source,char_rik,Rik,Xyziristine,comma_name_list,,low,no,whois_rik_1780880388,"Marieke,  Obthic, Oksar, Rhamd, Synnove, Tum, Wanda, Xyziristine, Zhyza"
source,char_rik,Rik,Zhyza,comma_name_list,,low,no,whois_rik_1780880388,"Marieke,  Obthic, Oksar, Rhamd, Synnove, Tum, Wanda, Xyziristine, Zhyza"
source,char_rik,Rik,Billiam,comma_name_list,,low,no,whois_rik_1780880388,"The Evil: Ashmash, Billiam, Brutex, Defcon, Hatchie, Inkathurg, Lentracus,"
source,char_rik,Rik,Brutex,comma_name_list,,low,no,whois_rik_1780880388,"The Evil: Ashmash, Billiam, Brutex, Defcon, Hatchie, Inkathurg, Lentracus,"
source,char_rik,Rik,Defcon,comma_name_list,,low,no,whois_rik_1780880388,"The Evil: Ashmash, Billiam, Brutex, Defcon, Hatchie, Inkathurg, Lentracus,"
source,char_rik,Rik,Hatchie,comma_name_list,,low,no,whois_rik_1780880388,"The Evil: Ashmash, Billiam, Brutex, Defcon, Hatchie, Inkathurg, Lentracus,"
source,char_rik,Rik,Inkathurg,comma_name_list,,low,no,whois_rik_1780880388,"The Evil: Ashmash, Billiam, Brutex, Defcon, Hatchie, Inkathurg, Lentracus,"
source,char_rik,Rik,Lentracus,comma_name_list,,low,no,whois_rik_1780880388,"The Evil: Ashmash, Billiam, Brutex, Defcon, Hatchie, Inkathurg, Lentracus,"
source,char_rik,Rik,Maglubhiyet,comma_name_list,,low,no,whois_rik_1780880388,"Maglubhiyet, Myrcea, Oki, Oliksia, Qwestus, Timo, Tym, Wrorg, Zhough"
source,char_rik,Rik,Myrcea,comma_name_list,,low,no,whois_rik_1780880388,"Maglubhiyet, Myrcea, Oki, Oliksia, Qwestus, Timo, Tym, Wrorg, Zhough"
source,char_rik,Rik,Oki,comma_name_list,,low,no,whois_rik_1780880388,"Maglubhiyet, Myrcea, Oki, Oliksia, Qwestus, Timo, Tym, Wrorg, Zhough"
source,char_rik,Rik,Oliksia,comma_name_list,,low,no,whois_rik_1780880388,"Maglubhiyet, Myrcea, Oki, Oliksia, Qwestus, Timo, Tym, Wrorg, Zhough"
source,char_rik,Rik,Qwestus,comma_name_list,,high,yes,whois_rik_1780880388,"Maglubhiyet, Myrcea, Oki, Oliksia, Qwestus, Timo, Tym, Wrorg, Zhough"
source,char_rik,Rik,Timo,comma_name_list,,low,no,whois_rik_1780880388,"Maglubhiyet, Myrcea, Oki, Oliksia, Qwestus, Timo, Tym, Wrorg, Zhough"
source,char_rik,Rik,Tym,comma_name_list,,low,no,whois_rik_1780880388,"Maglubhiyet, Myrcea, Oki, Oliksia, Qwestus, Timo, Tym, Wrorg, Zhough"
source,char_rik,Rik,Wrorg,comma_name_list,,low,no,whois_rik_1780880388,"Maglubhiyet, Myrcea, Oki, Oliksia, Qwestus, Timo, Tym, Wrorg, Zhough"
source,char_rik,Rik,Zhough,comma_name_list,,low,no,whois_rik_1780880388,"Maglubhiyet, Myrcea, Oki, Oliksia, Qwestus, Timo, Tym, Wrorg, Zhough"
mentioned,char_auriane,Auriane,Hârikírí,comma_name_list,,low,no,whois_auriane_1780902728,"The Evil Spirit of Devastator, Sécrêt, Hârikírí, Spínâl, Meteor."
